year,make,part_name
2024,Porsche,Timing Belt
2016,Mercedes-Benz,Shock Absorber
2001,Chevrolet,Muffler
2009,Lexus,Transmission
2014,Hyundai,Exhaust
2017,Lexus,Alternator
2003,Chevrolet,Exhaust
2005,Fiat,Water Pump
2020,Kia,Exhaust
2005,BMW,Taillight
2007,Honda,Exhaust
2015,Hyundai,Timing Belt
2003,Kia,Shock Absorber
2004,Ford,Alternator
2023,Jaguar,Headlight
2014,Porsche,Shock Absorber
2017,Volkswagen,Taillight
2017,Audi,Shock Absorber
2022,Chevrolet,Spark Plug
2019,Honda,Water Pump
2005,Mazda,Battery
2024,Chevrolet,Brake Pad
2021,Nissan,Oil Filter
2013,Jaguar,Alternator
2002,Mercedes-Benz,Windshield Wiper
2014,Lexus,Coolant Hose
2023,Porsche,Air Filter
2009,Honda,Coolant Hose
2011,Kia,Water Pump
2001,Nissan,Brake Pad
2022,Chevrolet,Oil Filter
2009,Peugeot,Brake Pad
2002,Ford,Taillight
2017,Peugeot,Oil Filter
2010,Mercedes-Benz,Windshield Wiper
2016,Porsche,Headlight
2023,Porsche,Muffler
2011,Subaru,Muffler
2024,Ford,Radiator
2000,Jaguar,Clutch
2004,Volvo,Windshield Wiper
2020,Honda,Muffler
2024,Audi,Transmission
2023,BMW,Exhaust
2016,Audi,Clutch
2023,BMW,Water Pump
2024,Chevrolet,Oil Filter
2006,Volvo,Taillight
2021,Chevrolet,Spark Plug
2021,Subaru,Oil Filter
2017,Chevrolet,Taillight
2019,Mazda,Spark Plug
2018,Fiat,Radiator
2012,Mazda,Fuel Pump
2009,Mercedes-Benz,Battery
2011,Nissan,Clutch
2020,Hyundai,Shock Absorber
2008,Mercedes-Benz,Alternator
2000,Porsche,Air Filter
2002,Volkswagen,Brake Pad
2004,Hyundai,Radiator
2022,Subaru,Clutch
2003,Toyota,Transmission
2014,Nissan,Timing Belt
2006,Kia,Headlight
2004,Audi,Alternator
2023,Hyundai,Coolant Hose
2015,Mazda,Coolant Hose
2020,Nissan,Taillight
2006,Lexus,Coolant Hose
2007,Nissan,Coolant Hose
2008,Hyundai,Oil Filter
2023,Mazda,Coolant Hose
2012,Toyota,Taillight
2005,BMW,Fuel Pump
2010,Volkswagen,Exhaust
2010,BMW,Alternator
2024,Porsche,Radiator
2006,Subaru,Headlight
2020,Mazda,Shock Absorber
2021,Nissan,Headlight
2022,Ford,Shock Absorber
2021,Toyota,Headlight
2016,Chevrolet,Shock Absorber
2001,Jaguar,Headlight
2007,Hyundai,Brake Pad
2008,Fiat,Exhaust
2011,Audi,Battery
2006,Honda,Windshield Wiper
2009,Honda,Air Filter
2018,BMW,Alternator
2000,BMW,Battery
2022,Toyota,Taillight
2022,Chevrolet,Battery
2010,Nissan,Radiator
2018,Volkswagen,Muffler
2017,Volvo,Air Filter
2005,Peugeot,Fuel Pump
2006,Jaguar,Headlight
2010,Lexus,Fuel Pump
2003,Chevrolet,Spark Plug
2020,Ford,Shock Absorber
2005,BMW,Timing Belt
2005,Nissan,Alternator
2020,Peugeot,Taillight
2013,Mazda,Radiator
2004,Mazda,Headlight
2003,Mazda,Timing Belt
2015,Volkswagen,Taillight
2004,Toyota,Muffler
2010,Porsche,Windshield Wiper
2014,Porsche,Air Filter
2014,Volvo,Muffler
2011,Toyota,Fuel Pump
2024,Mazda,Coolant Hose
2016,Volvo,Taillight
2007,Porsche,Radiator
2020,Volvo,Air Filter
2021,Jaguar,Battery
2002,Jaguar,Timing Belt
2007,Lexus,Shock Absorber
2008,Audi,Fuel Pump
2016,Mazda,Taillight
2012,Mazda,Spark Plug
2004,Porsche,Alternator
2015,Ford,Oil Filter
2003,Nissan,Taillight
2005,Audi,Battery
2011,Chevrolet,Air Filter
